,File,NaiveRMSE,LSTMRMSE,LSTM-Naive-Ratio,Average-Ratio,TotalLSTM-RMSE,TotalNaive-RMSE
0,Chiapas_2016-2017.csv,16.264993083306244,18.093443322944033,1.1124162937096136,0.9103439549026404,798.0934350174074,876.6943864671041
1,Guerrero_2016-2017.csv,13.666016244685206,14.931882300167892,1.0926287538970978,0.9103439549026404,798.0934350174074,876.6943864671041
2,Yucatan_2016-2017.csv,34.112167917035116,31.106336180874752,0.9118838842646734,0.9103439549026404,798.0934350174074,876.6943864671041
3,NuevoLeon_2016-2017.csv,44.160615937733475,47.920693087510415,1.0851454869895532,0.9103439549026404,798.0934350174074,876.6943864671041
4,Veracruz_2016-2017.csv,30.309899372977142,38.224428693919535,1.2611202770273335,0.9103439549026404,798.0934350174074,876.6943864671041
5,SaoPaulo_2016-2017.csv,26.394997414214608,41.01479752049865,1.5538852638193772,0.9103439549026404,798.0934350174074,876.6943864671041
6,MinasGerais_2016-2017.csv,86.68787754174761,79.66926051339823,0.9190357726203492,0.9103439549026404,798.0934350174074,876.6943864671041
7,MatoGrosso_2016-2017.csv,90.72776124509527,57.559886334974905,0.634424188859687,0.9103439549026404,798.0934350174074,876.6943864671041
8,Bahia_2016-2017.csv,243.01872804580026,160.38843767135248,0.6599838578742172,0.9103439549026404,798.0934350174074,876.6943864671041
9,RioDeJaneiro_2016-2017.csv,291.35132966450914,309.1842693917665,1.0612076826551367,0.9103439549026404,798.0934350174074,876.6943864671041
