Week,Searches,Cases
25/01/2016,41,0
01/02/2016,52,46
08/02/2016,62,46
15/02/2016,67,48
22/02/2016,63,83
29/02/2016,56,83
07/03/2016,58,83
14/03/2016,63,120
21/03/2016,40,121
28/03/2016,51,158
04/04/2016,37,158
11/04/2016,57,160
18/04/2016,32,264
25/04/2016,41,264
02/05/2016,64,264
09/05/2016,65,264
16/05/2016,57,206
23/05/2016,58,206
30/05/2016,63,206
06/06/2016,62,206
13/06/2016,74,206
20/06/2016,71,206
27/06/2016,69,45
04/07/2016,73,45
11/07/2016,59,45
18/07/2016,26,45
25/07/2016,55,45
01/08/2016,32,49
08/08/2016,33,81
15/08/2016,70,163
22/08/2016,30,21
29/08/2016,13,21
05/09/2016,21,21
12/09/2016,21,21
19/09/2016,24,21
26/09/2016,13,1
03/10/2016,16,20
10/10/2016,15,21
17/10/2016,46,30
24/10/2016,11,30
31/10/2016,53,17
07/11/2016,58,17
14/11/2016,15,20
21/11/2016,31,15
28/11/2016,40,30
05/12/2016,30,10
12/12/2016,32,7
19/12/2016,16,3
26/12/2016,20,2
