Date,Searches,Cases
25/10/2015,0,0
01/11/2015,20,1
08/11/2015,16,1
15/11/2015,0,2
22/11/2015,2,0
29/11/2015,5,0
06/12/2015,7,1
13/12/2015,15,1
20/12/2015,5,0
27/12/2015,6,2
03/01/2016,14,3
10/01/2016,26,18
17/01/2016,48,0
24/01/2016,62,98
31/01/2016,66,126
07/02/2016,88,179
14/02/2016,55,213
21/02/2016,55,165
28/02/2016,30,218
06/03/2016,23,218
13/03/2016,75,144
20/03/2016,40,201
27/03/2016,15,235
03/04/2016,100,245
10/04/2016,50,210
17/04/2016,8,183
24/04/2016,64,185
01/05/2016,41,153
08/05/2016,49,195
15/05/2016,67,202
22/05/2016,28,92
29/05/2016,25,156
05/06/2016,20,105
12/06/2016,0,96
19/06/2016,10,56
26/06/2016,0,65
03/07/2016,3,114
10/07/2016,26,46
17/07/2016,87,29
24/07/2016,73,36
31/07/2016,12,45
07/08/2016,75,38
14/08/2016,0,25
21/08/2016,0,24
28/08/2016,87,22
04/09/2016,0,23
11/09/2016,92,32
18/09/2016,0,55
25/09/2016,0,9
02/10/2016,100,5
09/10/2016,0,5
16/10/2016,0,-11
23/10/2016,0,19
30/10/2016,0,5
06/11/2016,0,5
13/11/2016,0,10
20/11/2016,22,6
27/11/2016,0,7
04/12/2016,0,2
11/12/2016,0,10
18/12/2016,0,3
25/12/2016,0,3
01/01/2017,51,0
08/01/2017,0,4
15/01/2017,0,2
22/01/2017,0,0
29/01/2017,0,1
05/02/2017,0,1
12/02/2017,0,3
19/02/2017,0,3
26/02/2017,0,2
05/03/2017,82,6
12/03/2017,0,2
19/03/2017,0,2
26/03/2017,0,0
02/04/2017,0,0
09/04/2017,100,5
16/04/2017,0,-3
23/04/2017,0,1
30/04/2017,0,0
07/05/2017,0,0
14/05/2017,0,3
21/05/2017,100,6
28/05/2017,0,-2
04/06/2017,0,1
11/06/2017,0,1
18/06/2017,0,1
25/06/2017,0,2
02/07/2017,0,0
09/07/2017,0,3
16/07/2017,0,0
23/07/2017,0,0
30/07/2017,58,-1
06/08/2017,0,2
13/08/2017,0,6
20/08/2017,0,0
27/08/2017,65,2
03/09/2017,7,2
10/09/2017,0,3
17/09/2017,0,1
24/09/2017,0,2
01/10/2017,0,1
08/10/2017,100,0
15/10/2017,0,0
22/10/2017,0,-6
29/10/2017,0,0
05/11/2017,0,1
12/11/2017,0,0
19/11/2017,0,1
26/11/2017,0,0
03/12/2017,0,2
10/12/2017,0,2
17/12/2017,0,0
24/12/2017,0,-1
